timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,suspicious,suspicious_reason
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,1288,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,545,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,273,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,52823,UDP,65,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,82,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,82,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,1292,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,1292,False,
2026-07-18 00:27:16,84.32.102.196,192.168.18.71,443,61711,HTTPS,54,False,
2026-07-18 00:27:16,57.144.149.32,192.168.18.71,443,60508,HTTPS,117,False,
2026-07-18 00:27:16,188.42.122.100,192.168.18.71,443,56892,HTTPS,54,False,
2026-07-18 00:27:16,192.168.18.71,188.42.122.100,56892,443,HTTPS,54,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,1292,False,
2026-07-18 00:27:16,192.168.18.71,57.144.149.32,60508,443,HTTPS,54,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,1292,False,
2026-07-18 00:27:16,103.66.180.185,192.168.18.71,9076,53300,TCP,55,False,
2026-07-18 00:27:16,192.168.18.71,103.66.180.185,53300,9076,TCP,102,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,1292,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,346,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,988,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,136,False,
2026-07-18 00:27:16,192.168.18.71,142.250.202.106,51202,443,UDP,73,False,
2026-07-18 00:27:16,142.250.202.106,192.168.18.71,443,51202,UDP,138,False,
